mean_grade,weekly_study_hours,approved
9.196897911920418,3.1733809361414265,1
9.136080695113689,11.19589584370356,1
7.936935904655574,5.603347756287182,1
2.6828246396589392,4.167854069751243,1
7.383285865065215,7.832201019850651,1
8.71006964297289,2.0964351095840597,1
4.451919326907405,3.579922693513052,1
0.010080418637455901,1.4259115821948027,1
5.0619003366766515,8.283892335817667,1
8.85348567155429,8.443898756992915,1
8.315662026567617,5.1718579326773515,1
7.447839213576915,3.3835614269991976,1
5.185372221833823,5.383400486639158,1
6.394864428486252,11.201635224426433,1
1.6642077427944058,0.7035981319121194,1
9.136080695113689,10.19589584370356,0
3.1414656714847844,2.3964405480144526,0
2.4343226042823907,1.1080125787543067,0
0.6564550891964971,0.44701975167208996,0
1.876921754838997,0.34283428215962397,0
3.3776352026417316,2.295766253567014,0
4.592645021756327,2.3195533558811054,0
1.1257998730009922,0.4643316893860905,0
0.3721175225090203,2.4852859219297816,0
1.4894421266478046,1.0831179954739127,0
4.486318196610683,0.40647875008911605,0
5.026571480314044,0.6009194236760589,0
0.3878964823072395,1.2242302176841342,0
0.5013160468520206,0.2473159955182429,0
0.9173157282983171,0.3444957099092387,0
2.732257202490965,0.9175827694124621,0
